text,true_label,pred_label
anyway you all see these euro niggas dangerous mofuckas,normal,offensive
reverse it west yorkshire police are so good at their job no child raped by paki muslims on their watch asif,offensive,hate
got into my first car accident 🙄 a bitch was shook,offensive,normal
jews are the only enemy in the history of the world that resort to crying its anti semitic to resist my actions boo hoo,hate,offensive
twitter use to suspend me and when i got back on id lost hundereds of followers they finally banned mebecaue this muslim who threatend potys i reported her to her busness fbi she called my home threatened me i bet she is still on twitter,offensive,normal
<user> respect the based nigress 😤 he would be nothing without her,normal,hate
fully agree every personal interaction with these queers reinforces what i already knew severe mental illness and obnoxious to boot,hate,normal
talk to me when one of the dumb tradthots get shot over their views or something no one gives a shit about some idiot getting detained on muslim grounds anymore this isnt <number>,offensive,hate
i didn ’ t get a pedicure last rome i got my nails done n now my feet look brazy this is ghetto,offensive,normal
f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,normal,hate
<user> aloha akbatman she not the immigrant we need or the immigrant we want but she the immigrant we have got so let beat her because she can take it,hate,normal
i d rather get fisted by a nigger tbh,offensive,hate
musacchio suspended for being a retard blame giampaolo,normal,offensive
when america was white no ghettos no handouts almost no taxes no men of color trying to have sex with your <number> year old daughter almost no crime the left says the white communities must die out,hate,offensive
<user> he ’ delusional trying to say that jews built the pyramids what a joke,offensive,normal
yeah i also agree that the middle eastern ones are coming mostly to hungary but these other refugees away from mudslimes are all schengen regions why bother applying for refugee status when you can just move it perfectly legal,offensive,hate
does not know the difference between latino and spic but thinks it an authority also thinks it smart 🤔,offensive,hate
white gay men mad they can not say dyke bc they do not have faggot to themselves lmao,normal,offensive
enjoy your new drama filled scandalous royalty england this is what happens when you take a ghetto <number> y o divorcee and try to make her a princess,normal,offensive
if you ’ re an army that is republican you are not welcome here we hate you,hate,normal
society is sukin on your dick and since i got a pussy i am a bitch,offensive,normal
the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,normal,hate
<user> the white delegation has waived that white devil woman,offensive,normal
<user> <user> there are literally nazis all over all the time rigjt now throw a rock you hit a nazi,offensive,normal
wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,normal,hate
and david bowie allowed a mean black woman drag queen in san diego destroy his career and had him locked up in a c y a prison camp,normal,offensive
they have thousands of years of practice but the fuckers keep re branding themselves in history books so nobody realizes it the same jews using the same rabid arabs century after century,offensive,hate
just cause we no longer fuck w each other don ’ t mean i hate you but don ’ t try to be dry ass petty with me,offensive,normal
bitches broken hearts,normal,offensive
<user> ffs these ghetto blacks are ignorant like cracker mountain hillbillies,hate,offensive
whenever i say redneck in front of white people they act like i said a bad word,offensive,normal
well at least the mudslimes occasionally get it right now if they could just ramp it up by about <number> million,offensive,hate
you can not culturally enrich a moslem,hate,normal
the haters who have high self esteem and see me as lower or try laughing at metrying to be egotistic and narcisstic ass fuck whether single or not and think their life better than mine deserve a big fuck you too,offensive,normal
me laughing at dead children and refugees is disgusting and scum pakis but what about those guys who beat up that scammer outside o k,offensive,hate
good my people are insufferable you can tell from the exchange between me and paki reactionary,offensive,hate
whatever crypto infiltrator u are yeah but ur pro zionist are not u definition of jew believes in and pushes holocaust hoax as well as pushes <number> <number> was done by arabs story,hate,offensive
breaking trump plan to send illegal immigrants to sanctuary cities is undergoing review sarah sanders says,offensive,normal
because women would never lie about being sexually assaulted for personal gain ain t that right feminists,offensive,normal
so yes i do see the political landscape stormfags who spout jew shit are just as damaging to the solution as fucking sjw faggots are,offensive,hate
<user> oh you mean odumba the admitted mussie and admitted he was born in kenya and those are easy to find in a search,hate,normal
if money was grown on trees women would be dating monkeys oh wait never mind,hate,normal
diversity is a code word for white genocide,hate,normal
for all the muslim goatfuckers,offensive,hate
wow you think race has nothing to do with it why do we have all these ghettos in america you think race does not dictate behavior you really think these immigrants come here because they want to adopt your white american heritage why are they tearing your monuments down,hate,offensive
i guess you are not good at statistics how many cities have whites burned and looted how many ghettos have they created how many first world civilizations have blacks created why did they never invent the wheel or written language why do they still live in mud huts,offensive,hate
i wuz tired of havin <number> pack of rib das nigger shit so i had <number>,normal,hate
the left applauds transgenderism it is an act of courage that must be celebrated legally endorsed and protected and woe to anyone who disagrees the left approves of transgenderism as strongly is it reproves a gay man woman wanting to transition into a heterosexual legally forbids any assistance,offensive,normal
<user> alex is the mega gay,offensive,normal
look who introduced theresa may to phillip may always a connection as to why paki muslims have raped with impunity g4s protects the grooming gangs that why tommy robinson has been imprisoned always a link,hate,offensive
this sperging alt right retard accused me of being a subversive jew now he is claiming that i am sarcuck the fuckwad i wish i was making something like that up where it makes whites look bad but i am not,hate,offensive
<user> we have words for guys like you it ’ called bitches,offensive,normal
a nigga have a baby on me i swear i ’ ll take out the whole family sorry not sorry 😋 🗡,hate,normal
stealth goatfucker <number> 😂 😂 😂,offensive,hate
ellison perez and obama walk into a bar we do not serve his kind here says the bartender with a vague motion perez thinks he is not black enough ellison thinks it because he a public muzzie obama suddenly bursts out hey we are all traitors at some level,offensive,hate
token astronauts jeanette epps negress replaced with mexican chic x feed the fish sally ride lesbian quota affirmative action segregation hbcu,offensive,hate
ideally yes when push comes to shove id rather live in a white run city country we already know what a planet of apes scenario looks like baltimore chicago philly detroit and every suburban mall failing to shoo flies,hate,normal
we sound stupid when we talk ghetto remember white women calling jewelry bling it was embarrassing to hear my favorite is white guys wearing their pants below their asses whoever told them this was cool,offensive,normal
looking at all this nigger ruin wondering when we starting spelling detroit with a z,offensive,hate
nuke a gay whale for christ,normal,hate
i forgot all about my steak in the damn sink 🤦 🏼 ‍ ♀ ️ ion even wanna cook the bitch now,offensive,normal
islam continues to spread because of arabs,offensive,normal
plenty of faggots to talk to,hate,offensive
logan paul is a fucking bozo,offensive,normal
the ultimate anti muslim weapon a muslim being killed by a women means no virgins in heaven the armed kurdish women brigades caused fear and running of isis in syria this is the time for our sisters to take control of the destiny of the human race,offensive,hate
this nigga is a fucking joke i swear,offensive,normal
the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm,hate,normal
the jews are less than <number> of the total world population so the only way you can be right is if all the jews are some kind of ultra wizards fyi the jews are not some kind of ultra wizards,normal,offensive
glassboro mcdonald ’ ghetto just like millville got me getting smart with people early in the morning,offensive,normal
<user> the shooters must be muslim,offensive,normal
<user> you me being retarded elderly pepo,normal,offensive
call i wanted to overhear today hill this is barry look i told <number> million illegal immigrants i would not prosecute them for voting you still could not pull it off oh hey could u send me the name of that guy who set up your foundation thanks hillary trump presidenttrump speakfreely,offensive,normal
i find when i tell liberals about what is happening in europe with refugees and islamic invasion and how women girls m as well as young boys gays lgbt and everyone native in that country are being assaulted raped and abused it is very effective at turning liberals red trump pizzagate,hate,normal
a mother who tells her child to play with a diseased child look i know they did not have iphones and computers back then but they were not retarded for fucks sake,normal,offensive
dude in white trash crew shirt just almost swung on a couple in <number> <number> cus they fed his boston terrier a potato chip,normal,offensive
america is so racist that they think asians are smarter than blacks and hispanics they also pay asians more too and asians are more highly represented in high tech industries i blame white people,normal,offensive
america the rulers overlords at the federal local levels have made a declaration the lives of american citizens are no longer our concern as of this moment the only lives worth protecting defending are those of illegal aliens muslim terrorists libbyschaaf,hate,offensive
wherever trump goes there is love peace and happiness except for israel only jews would kill around <number> people in his presence,hate,normal
white south africans are the real refugees we need to be saving let the arabs and africans save their own people for a change oh wait that who the supposed refugees are running from burnitall nomorerefugees shootthendeport,hate,offensive
fems you all outchere fucking dykes that need half on the rent,offensive,hate
<user> i am sorry isabelle but you are fucking retarded,hate,offensive
“ y ’ all got everybody infiltrating negroes ” nicki minaj,normal,offensive
<user> the non whites will follow wherever we go until we go somewhere that we do not let wormtongue jews in with us and hold out ground,offensive,normal
am not trying to be racist some of them mmg rude especially arabs mabuk tu takyah cerita la dah mabuk blh pulak drive 🤦 ‍ ♂ ️,offensive,normal
do asians like you ever feel any shame for invading us universities in such overwhelming numbers,normal,offensive
whatever ivan bollockov you keep flapping like a bitch i will get your dad to turn your wifi off and confiscate your phone,offensive,normal
means barry who filled the white house with black and muslim terrorists is a pro american whoa i like this kind of trash logic or,normal,offensive
you can not speak abt lesbian issues you are a kpop stan ah yes i forgot jungkook took away my dyke card,offensive,normal
i just want to say muslimes f off,hate,normal
white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,normal,hate
in england they call these people asians even though they are from the sub continent and pakistan and east asians are called orientals it irritates me too we should classify them by race and perhaps religion in this case paki muzzie,offensive,hate
everyday the same thing i have contracts on my life im going to get killed im dead its my fault im an nut a faggot everyone hates me the country wants me dead organize crime the police who does not want to see my die,normal,hate
<user> <user> not migrants these are illegal immigrants which makes them criminals either lock them up or deport them,hate,normal
<user> it actually country but ghetto stole it,normal,offensive
couple friends you know bitches get funny,normal,offensive
<user> <user> <user> and retarded,normal,offensive
when the lewdposter you follow reposts a series of naked sheboons,offensive,hate
a quick web search turns up that in some ancient cultures polygyny was explicitly restricted to cases where the woman failed to yield children does the bible have that restriction not that i have seen jacob had children with four women simultaneously it would appear you are simply wrong,offensive,normal
i mean of course we do not know why he did it we have yet to establish a clear motive it may just have been a sexualemergency hence his desperation the gun was just meant to compel the women to realize the urgency of the matter,offensive,normal
i find it easy to get around being called a racist sexist nazi homophobe if you are just an asshole to everyone,normal,offensive
<user> forreal western countries are the only fucking places where immigrants expect shit to cater to them,offensive,normal
it officially october where my niggers jason n freddy,normal,hate
signs in the ghetto warning the jews of typhus germans warning jews about a deadly disease,offensive,normal
when a cucked trump faggot thinks you are a libertarian,offensive,hate
we are lucky his son died before he got sudden jihad syndrome the ft hood shooter killed more us soldiers than moslem soldiers have died fighting for the us in the past <number> years that is easily checked,normal,hate
lemme go watch dany be a stupid bitch yet again on got,offensive,normal
<user> dis nigga called us coons and niggers with a er am i missing something lmao,normal,hate
now if only we can get moslem men to do this before their wives squat out shitlings,offensive,hate
read on swedish facebook police does not have time to arrest a rapist who raped a <number> year old girl despite knowing where he lives and who he is,offensive,normal
see how lefties turn on their poster girl aung san suu kyi mynarmar cos she will not bend to dhimmi traitor politicians un by appeasing moslems unhcr head is a moslem screams genocide irony yet mentions nothing of ongoing moslem genocide of christians in middle east me says go for it aung,hate,normal
i do not know what i d prefer to see happen to owen him thrown off a roof by a moslem refugee or to suffer a long agonizing death by aid,hate,normal
we could update the refugee law if a refugee kills someone then <number> people from that refugee country are deported each time it happens we double the number deported to that country,offensive,normal
<user> hux is literally gay and kylo is an ally,offensive,normal
i should post pics of muslim women sucking christian cock lol,offensive,hate
niggas say hahahaha you live with your mom hahaha you must be poor nigger i just spent <money> on a new computer for my mom kindly fuck off pls kthx <number>,offensive,hate
you know niggers love pretty b*tches <censored> with ambition,offensive,hate
sex be so good a bitch be slow stroking and crying,offensive,normal
nah bitch quit playing with me,normal,offensive
real nigger me please,normal,hate
got told off in the butcher for asking for a welsh faggot apparently they are now called savoury ducks that explains why i was banned off facebook for the f word i used,normal,offensive
americanthinker usually with excellent editorials and i especially like the comments section today a jew harped on and on about poor pitiful persecuted jews and how terrible anti semitism is what so damn special they should have their own word for alleged racism,normal,offensive
<user> girl i use my email for anything important cause that shit too ghetto 😂 😭,offensive,normal
that seems like a misleading generalization i heard black women do not like giving oral i bet the black gays do though and the dl guys probably do so prob <number> <number> tops,offensive,normal
perhaps the men in question prefer women who do not dress like streetwalkers,offensive,normal
<user> looks more like white trailer trash,offensive,normal
so is it ok for us to protest jews in those positions in our countries as well chill the personal attacks i am better than you at those and i have not even used one yet it a debate,offensive,normal
tell your kids about today how king ermias united the ghettos of america even if it ’ just for a day 🏁,offensive,normal
dunno not good enough he should offer his wife to the negro as,offensive,hate
jews pull the same shit on online forums close down all criticism of them and ban threaten people in sherdog i mentioned jews in a couple of posts and all of a sudden some mod is leaning on me the fucker has an illuminati avatar,offensive,hate
<user> he is infected with jihadi virus he will spread it to others,hate,normal
the solution to save the white race is clearly to vilify women and not have children after all who wants the burdens of marriage like our dumb ancestors they should have probably just chosen to stroke it out rather than continue on our race,offensive,normal
asians are so sexy wallahi but then you link up with them and they ’ re like <number> ’ <number>,offensive,normal
most muslim men are homosexuals pakistan has more male prostitutes than most countries film makers concluded that most pakistani men visit male prostitutes for sex if you dont believe me ask the ex cricketer and now politician imran khan,offensive,normal
yes npr do go on please tell me about all the poor women who need my money because they can not keep their legs closed maga speakfreely,offensive,normal
<user> if its not hillbilly cousin fucking town then yes for that price 🤣,offensive,normal
how about royal traitors 😂 loosewomen,offensive,normal
these hoes be acting up and these niggas be letting them 🤨,offensive,normal
that video of the deaf dude having sex was killing me yesterday 😭 and this nigger <user> gon post the video in the chat so i am dying all over again 😩 😩 💀 💀,normal,hate
for the record i do not think it can be denied that jews are nepotistic and intelligent with a strong in group preference what bothers me is that they will not allow anyone else the same priviledge,normal,offensive
anti violence laws just saved a white man from my nail scratches,offensive,normal
<user> i peeped your avi you definitely look like the ghetto ass auntie that you are 😂 🤩 💋,offensive,normal
us black trans women are dying white vegans us eat meat white vegans you should be ashamed of yourself,normal,hate
<user> being jamaati islami and supporting islamic state waystodieinkashmir,offensive,normal
have a nice day at work white man,offensive,normal
niggers waste their entire lives running away from themselves,normal,hate
<user> ur dogshit faggot which explains why u r over <number> and never can make cl stfu faggot,hate,offensive
do not you love when nazi wannabes complain about israel because hey like we do not want them here but we do not want them there either stupidity,normal,offensive
and they could not even get attractive models to wear those retarded crayon scratching designs,normal,offensive
i have been communication banned twice in the past month for calling kids faggots on rb6 when my teammates kill me for no reason kids really can not handle this shit nowadays,hate,offensive
crackheads call themselves crackheads we all know black people who call themselves niggers savages and thugs but is not it different when a white says the same words let us keep it <number>,normal,hate
a liberal asked if conservatives would do the jobs illegal immigrants do why must democrats think we need a permanent underclass of non citizens wait were not they the ones who implemented slavery were not they against civil rights it all becoming clearer now,normal,offensive
jim_jordan we want premiums to come down for middle class and working class families me too and illegals out welfare bums get off your asses get a job and pay your own damn way no refugees,hate,offensive
when blacks act in a manner far less likely to involve getting shot their peers call them coons and uncle toms some of their own people told them this too but they did not want to listen,normal,hate
if your humor is based on racism homophobia sexism and rape you ’ re not fucking funny go home,normal,offensive
<user> i just watched my two retarded 4 th grade teachers be retarded assholes,normal,offensive
more white people are going to get red pilled by the media outrage at it okay to be white and more posters will go up awesome,offensive,normal
i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say <user> boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees,offensive,hate
whio wants to be my slave dm me slave gay sexting incest horny femboy trap,normal,offensive
at it root it is a muh dick and gibs me dat ideology no wonder it is so popular among blacks even though they have no idea how much the arabs hate them and still trade them into slavery,offensive,hate
<user> bat ching chong,normal,hate
well uh not just bc of zombama and cunton they arabs and blax love slavery jews too as far as i can tell,hate,offensive
i really do not understand why white people can not say nigger i mean we invented it,normal,hate
<user> fyi i m claiming war queer fuck em,offensive,normal
why do you gym muscle faggots not spend more time rushing homophobes,offensive,hate
<user> he ’ just gay in general no stipulations are needed,offensive,normal
now he comes aaron judge certainly one of the hotter yankees michael kay no homo,offensive,normal
so a gook threw out all of my books long story i am putting together an amazon cart with all of my old books and some new ones anyone have any suggestions,normal,hate
im tired of seeing that black and white ass eating video the bitch thats shaped like squidward and the the girl getting fucked and then suckin dick like bye,offensive,normal
can someone answer my question are tax payers still paying for the so called obama phones for low income and ghetto rats,hate,offensive
now that transgender rapist martin ponting traded his twig and doodleberries for a hoo hah courtesy of the british taxpayer he gets special accommodations – namely being put into a prison full of women brittany m hughes,offensive,hate
israel is the only democracy in the muzzie mideast and an american ally people who hate israel are idiots,normal,hate
<number> in <number> google employees are women yeah cos white guys only hire white guys only <number> of comp sci graduates are women kill me,offensive,normal
<user> the only problem i see right now with this is the robot is white so even if you do grant it rights some ghetto niggas are going to come along and kidnap it because it white and mostly like supported donald j trump for president,offensive,normal
so as men we have penises that look like melted candles but women get something cool as their pussies look like the fucking predator,offensive,normal
is slutshaming still a thing yikes,normal,offensive
be proud of your heritage no nigger could ever make this kind of art and no nigger will ever come close to being half the man as general robert e lee,normal,hate
thats homophobic you vile sand nigger,offensive,hate
pedophilia promoted by mohammed piss be upon him perfect rolemodel for every moslem,offensive,hate
we have several generations of women utterly incapable of making even the simplest sandwich,offensive,normal
i will stop caring for the arabs when i see militias cleaning house in dearborn michigan,normal,hate
fucking hate you bro i stg 💀 💀 💀 💀,offensive,normal
<user> <user> jews are white now,offensive,normal
<user> just told me he gained so much weight lately because of all of the nigger cum he been swallowing tmi vox i replied,offensive,hate
<user> according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island,hate,normal
the promise of a real place to go after high school for fat and queer kids could literally keep them alive,normal,offensive
that is about the most faggot ass looking shit a man could wear bet ya any sumbitch that dons this bs is packing a man purse too,hate,offensive
i poisoned sergei skripal he was a faggot anyway,hate,offensive
<user> text me faggot,normal,offensive
no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,normal,hate
i am an american but i am ethnically chinese people often ask me what does ching chong ching chong mean i always answer it means go fuck yourself you retarded democrat speakfreely,offensive,hate
so nice to see an american family in the white house and not the ghetto trash who was ruining our country maga gabfam britfam,hate,offensive
if she not bringing in da bag leave dat hoe,normal,offensive
this nigga too good to be true ain ’ t no way he show up to my crib wit a bag full of my favorite food,offensive,normal
<user> and <user> jailed today for highlighting the paki gangs raping british children in towns and cities across the uk our police will not do anything about it because they are busy engaging in this degeneracy,hate,normal
<user> <user> fucking retard,hate,offensive
iran our women and children are being raped murdered and stabbed by invading barbarians and we are worried about muh democracy in iran wtf iranprotests,hate,normal
<user> why would anyone watch whigger garbage like this show in the beginning,offensive,normal
then hoes stole my choreo and still managed to make it look bad and lose with it lmfao,offensive,normal
i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on,hate,offensive
day <number> today in gym we won a game of mattball cause of my retarded ass,normal,offensive
animals have hemoglobin and plasma too op bitch,offensive,normal
the detroit lions revoked a season ticket holder tickets because he said nigger on twitter but they insist their players are allowed to express themselves freely so long as that expression is jew approved i gather the nfl hates you,offensive,hate
ancient made up european gods and ancient made up kike gods are the exact same thing if you are not worshiping actual god you are worshipping someone else that someone else is satan does not matter if you call him moloch odin or your ancestor spirit different names same being,offensive,hate
i do not see why people go camping if i wanted to freeze my balls off and shit in a bucket i would sleep at my aunt house in the ghetto,hate,offensive
<user> must admit the term “ muzzies ” nags at me bothers me but this guy nevertheless is in need of serious mental adjustment,offensive,hate
i do not understand why we are so overly nice to the elderly they are by far the meanest motherfuckers in the world sure some of them can bake i will give ya that but they also will call you a faggot or give you the finger faster than any other demographic,offensive,hate
radio news report this morning referenced “ law abiding illegal immigrants ” unbelievable you can ’ t make this stuff up journalism is dead,normal,offensive
online nazi haha guys the left can not meme <number> white privilege diversity is our strength race is just skin color the holocaust racist sexist bigot homophobe islamophobe anti semite,hate,normal
<user> <user> how can a refugee cross any border illegally asking for people who need help,offensive,normal
<user> take care of it for me a bitch wants to die and has no regard for her own health,offensive,normal
that charlottesville violence is aweful for years the rightys refrained from violence while the islamic extremists and registered democrats perpetrated it more times than a guy can count on two hands it does not help em that anytime folks tries to assemble the leftys show up to egg people on,normal,offensive
trump and the lawless republican party have turned this country into a shithole country with no justice no authority to enforce our laws any longer this potus and mcconnell senate are declaring that they are above our laws but the peasant citizens must obey the laws,normal,offensive
you have a spic in a spic area he d have had to be the shooter himself almost to get fired a little bit of sexual harassment eyy mamasita joo bee lookin good is nothing to those muds best to deport them all,offensive,hate
<user> the privileged white devils are the only race that can not be victims of a hate crime,offensive,normal
the government needs to keep inspecting the places that towel heads worship cause they are bad places and whats going on with the cop killer that shot the white un armed woman,offensive,hate
<user> trump does not care about shithole countries,normal,offensive
<user> he a fucking faggy kike oh yeah bill mitchell got it as well he turned on the alt right yesterday as well saying white genocide and jq were conspiracy theories,offensive,hate
gab lately has gone absolutely full retard i havent seen this level of breakdown since i trolled themeparkreview com into the ground well me and a few other trolls guys you all need to chill,normal,offensive
<user> and the chinaman will eat both,offensive,normal
so according to kike shapiro <number> out of <number> dead and <number> injured being members of hamas justifies everything,offensive,hate
you can sleep safe at night knowing these wonderful ladies at nato are defending you from moslem terrorist,hate,normal
if i think he thottin ima do it first i am gon call my side bitch we gon do the work 🥴,offensive,normal
nigger lovin fgt,offensive,hate
<user> <user> what a vile islamist you have become shame,normal,offensive
standup purity spiraled iself into a singer songwriter ghetto so that talented performers like a bob hope are not considered real comedians cause they paid other ppl to write jokes for them,normal,offensive
longest war $$ $$ in american history a few stinkin thousand muzzies we can not wipe out gen smedley butler war i a racket but make sure you cough up your tax for this bullshit farce or they throw you in jail,offensive,hate
wow you just admitted to wanting the homo sex eww the trolls on gab are retarded as hell maybe as technology improves so will the faggotry jeff mute this nigga mute,hate,offensive
the tsarnaev brothers remember them sorry you may know them by another title bostonbombers shocking they were also called refugees what are the odds that islamic muslim refugees commit terrorism on the people and country they are taught to hate gabfam maga americafirst islam,offensive,hate
my paki muslim neighbour just got a job as a traffic warden i said what wrong mate were you unhappy that people did not hate you enough,offensive,hate
liberals call potus trump supporters white supremacists nazis and coons but whine because he calls fat boy in nk rocket man ❄ hypocrites 😂,offensive,hate
loll calling me a zhid and pedophile when i am neither,normal,hate
so boring that this janitor has me blocked someone call this porch monkey to clean my mf toilet,hate,normal
i wonder how many of those living in the ghetto now drinking leadened water and under constant threat of gang violence long for a secure bed and meals on the plantation,hate,offensive
damn dykes be looking scrumptious,offensive,hate
<user> begone ching chong,offensive,hate
i hate saying nigga around my white friends but sometimes you niggers be out coonin and a cmon my nigga will slip out every now and again,normal,hate
<user> you forgot to mention illegal muslim refugee,offensive,normal
if a pic can be shown send in the drone the cancer of islam needs to be eradicated not enabled ww2 vets are rolling in their graves,hate,offensive
and what does that make you a hearsay peddling moron what is a kike anyway what label may i place upon your genius how about peasant,offensive,hate
“ i don ’ t have to respect women i ’ m gay ” kevin,offensive,normal
best live topic i have seen on gab check out this fucking mongrel having to raise this is a worse toll than mudshark glasses,offensive,hate
no guys this based chinaman billionaire is going to make america great again,normal,offensive
welp tinder was exactly what i expected <percent> ugly fat chicks <percent> duckfaced instagram models fishing for likes <percent> prog dykes uninstall,offensive,hate
just remembered that renee is a lesbian the dykes won this one,normal,offensive
well the weasel and who is carrying water for the biggest liar in our country history obama is about to get his ass set on fire and the ex coon and moslem commander is going down too releasethememo is finally here,offensive,hate
<user> <user> but you said you like guys that what gays do,offensive,normal
you know those women you see around that have that trailer trash made up look with the bad eye makeup messy bun padded bra and super skinny meth body yeah they are probably meth addicts — author unknown,offensive,normal
did you offa to say which dyke it was btw british history offa dyke <happy>,offensive,normal
if the greeks from <number> years ago could see the olympics now they d throw up it all about more msm promotion of gays blacks and those who hate whitey back then it was a statement of see do not mess with my country we will f you up,hate,offensive
split her like a twix smoking on zkittles high as a bitch,normal,offensive
<user> like i have been saying for awhile now that soon the left ideology will lock horns with the islamic one total shit show,offensive,normal
<user> you do not consider anything presented to you as evidence let alone irrefutable evidence you just continue to diagree you shifted this argument from the jews pushing the muslims in to the holocaust to af diary you can not win so you shift are you black or a woman,offensive,normal
<user> whitebreads have no taste says wholewheat 1 st gen immigrant currently residing in the corporate capital of the world,offensive,normal
is this why kale is popular now because it clears out your shit shaft i did not know it was queer food,offensive,normal
precinct and campaign meetings will confirm that it is only whites who hold any ideals about government non whites want free govt cheese and jews are crazy for power,offensive,hate
egad my home is being invaded by black ants i wonder if this is some sort of cosmic symbolism for the third world immigrant invasion probably not i have not heard of any mexicans getting crushed by the thumb of damocles,offensive,normal
you alt lite queers need to pick a side pro white or anti white race mixers and thot defenders deserve the rope,hate,offensive
<user> chile the ghetto 💀 💀 💀 they mustve stole it coz they hate u i,offensive,normal
mfs really be cheatin on u w bitches who look up to u amp dat copy errything u do post,normal,offensive
i am gonna go now but i will be back later we are just getting started you and i better rummage through your closet and find your dancing shoes bitch boy we are not done by a long shot,offensive,normal
brian ross suspension people lost money sorry but ziltch any sympathy those retarded enough to panic sell off shoudln t invest if they panicked over that they d ve lost it all later anyhow armaggedons can really occur but not everything armaggedon either concern but not actionable panic,normal,offensive
for fuck sake when is the western governments going to stop giving these retarded hostile muslims perpetual aid,hate,offensive
